Trand,Prand
-0.195873266,-0.731235653
1.088770361,-0.412155658
0.360508511,0.673845432
0.84484522,0.232893277
-0.717754112,-0.326734651
1.51348062,1.533456752
-0.387864288,-1.239460625
-0.775268072,-0.805313698
-0.118518727,0.102441323
0.998236456,0.665843689
0.570642401,0.077404084
0.543018253,-0.325488396
-2.187895023,-0.702392265
-0.006123257,1.185967751
0.589300059,0.722397291
-1.329781214,0.054121408
0.588649565,1.029732412
-1.397522789,1.301390114
1.465347593,1.967187891
-0.035542437,1.567487909
1.370453866,-2.163036073
-0.676258327,-1.70866952
0.113897062,0.520404963
-1.083620015,0.104425674
-0.245242958,-0.543673404
-1.067525505,0.419041186
-0.619464785,-0.144017602
-0.347769491,1.253799818
1.498480121,0.683563211
-0.679277018,0.080163183
0.879832921,1.177259347
-0.192243693,-0.333539625
1.265378406,1.536968603
0.186350024,-0.108699476
0.129355594,1.485060293
0.754125731,0.459551627
-0.638372545,0.403286589
0.345593609,1.79227947
-1.168953227,-1.009554129
-0.230025996,0.794349325
1.005224208,-0.036952932
-1.133546188,-0.54514425
-0.057337401,-0.572076573
1.650212162,-0.129915528
0.973004837,-0.072026843
0.282521873,1.50704035
0.529779604,-0.774678058
0.474731326,1.150017991
0.024285005,1.132326565
1.833222008,0.219491353
0.314001033,0.422015477
0.672152969,-0.618457894
1.016323699,-0.492614561
-1.485437488,-0.353917808
1.76994977,-0.332239945
1.760704787,0.104792879
0.288528208,-1.418762855
-0.338577069,-1.358871958
-2.766790344,1.122753772
0.23351506,0.65799741
0.267793381,-0.007367577
1.023128667,-0.785993756
-0.491084197,-2.359209028
0.45318554,-0.96279688
-0.513368765,1.80257417
0.988710541,2.369694908
0.098423206,0.488898229
1.066096173,0.25769342
-0.648031823,-0.066546619
-0.210929182,-1.819081896
-1.50268411,-1.875494395
-0.052181518,0.585389187
-1.053958047,0.069960852
-1.455570809,-0.934302197
-0.559436721,0.575120766
-0.215276749,0.745752657
-0.554121131,-0.657167082
-1.329227181,0.563143178
-0.754200658,-0.043845823
0.443123678,0.304980468
-0.072399406,3.616276984
-0.07612966,1.183818189
0.629833131,1.933517884
-1.129969854,0.654720384
-0.052533925,-0.020449027
0.44975525,-0.01117548
-1.462995234,2.354782431
-1.40470012,0.193997784
1.553105004,0.675822773
-0.764726959,0.715242781
-1.240431413,-0.080197591
-1.066023767,-0.138440873
-1.4318551,-0.722697858
1.188465174,-0.261709611
0.840308335,0.531874041
-1.442951112,-0.689423325
1.425105014,-1.417794171
0.113530647,0.173261577
0.144143939,-1.473365384
0.043216369,0.716550532
-0.461881538,0.015418028
-1.163412836,0.177628307
1.153351538,0.485811093
0.871395411,0.243738766
-0.653709713,-0.639009635
-0.231149397,-0.360446737
0.717825198,1.021424253
0.978328629,0.141856488
-0.461289504,1.01716301
0.791911555,0.045715109
1.294161418,0.395278214
-1.513281993,-0.242017035
-1.045961699,0.978450176
-0.750714337,0.576874651
0.797317251,-0.076936097
2.413596052,-0.634776027
0.224087617,0.451619494
0.287452438,-0.389681335
1.999919132,-0.700168507
0.710111134,1.52551474
-0.597360689,2.0721691
-0.884181391,-0.411380808
-0.074566504,-0.562269512
0.776772778,-0.535576614
1.853799738,-0.12497486
-0.436343008,-1.605535121
0.667466395,-0.907739226
0.037333941,1.195291234
0.265698933,-1.235097305
0.335869939,1.358533589
1.469375444,0.60275036
-0.903297538,-0.129873818
-1.674037578,-0.449382852
0.508737227,2.559592551
1.85504799,0.236397853
0.26402372,-0.564112074
-0.306994275,0.332319369
-0.061072548,-2.436656085
1.291817062,0.258818627
-0.577613599,-0.57447362
0.59473503,-0.157618763
0.589967829,0.711596002
-0.493020506,-0.287440976
-0.832575977,-0.343189164
-1.439192735,0.815147707
0.882744625,0.357580821
-0.335999285,-0.204594667
-1.433743691,0.48357656
0.159356816,1.080715949
-0.516993448,0.829653389
0.570440285,0.163627679
1.008868983,0.308480154
0.971567673,0.750134218
0.492143166,-0.168496103
0.437665357,-0.359502577
0.900040898,-0.403477185
-1.955064071,-0.926788181
0.691826961,-1.173933622
-0.007633773,0.701663465
-0.051599399,-1.282424057
-0.669635492,-1.431961277
1.014288833,1.345696171
1.764469705,-0.727554517
0.533545527,0.624076902
0.863188834,1.769767964
0.321658242,0.063144617
-1.433140025,0.890773421
1.340641766,-0.240055413
0.041175986,-1.087977592
0.472686456,0.6120552
0.725318616,0.017299257
0.860759493,1.620117191
0.747941055,-0.797108816
-0.251750621,-1.592459226
0.530743944,0.314671339
0.679738329,-1.154127076
-0.018513074,-0.221671747
0.975061047,0.423025753
0.391516145,1.507669417
-1.175948432,-0.311387475
-0.373922437,1.022382861
0.034464659,0.752354542
0.846009418,2.140336504
-1.077754209,-1.841884268
-1.094364378,-1.445929909
0.652754102,0.543833344
0.728132284,0.307542513
0.492786736,0.018137288
-0.303659524,-0.317870003
1.667946766,1.979096332
-2.076381539,-2.723870205
0.261686283,0.155380765
-0.640794142,-0.391201379
0.355129142,-0.003427685
-0.958530357,0.248257431
0.624791798,0.478431528
0.644488865,0.708206715
0.855974735,1.677024467
-0.909222613,1.06724116
-1.542320851,0.017933696
0.425984066,1.320817726
1.641147809,0.375319192
0.165094768,1.392531364
-2.337002697,1.231433383
-1.488477715,-0.273508841
0.415051256,0.602191726
-1.632407908,-0.245024462
-2.034787075,-0.276744462
0.593070161,1.690629087
-1.118123794,-0.472326041
-2.503321407,-2.256870934
0.710158395,0.079876013
-1.316383217,2.044200721
